id,name,release_date,href
1AegI4Bn648fulynzE7YML,Criminal Bassline - VA II,2020-08-07,https://api.spotify.com/v1/albums/1AegI4Bn648fulynzE7YML
0qn64q9MVIlHoUnfdcsSN9,Acid Carnival,2022-12-20,https://api.spotify.com/v1/albums/0qn64q9MVIlHoUnfdcsSN9
0k9Gu6Gw0Xu4RSzaKaaFZi,Other Side Of The Sun,2022-10-21,https://api.spotify.com/v1/albums/0k9Gu6Gw0Xu4RSzaKaaFZi
7aMQPXovqv7PGp1YCcVptp,The Techno,2023-11-03,https://api.spotify.com/v1/albums/7aMQPXovqv7PGp1YCcVptp
1NsMu7kOA3PbMi43wQBiJD,Cosmic Ride (ReBrand Mix),2021-12-10,https://api.spotify.com/v1/albums/1NsMu7kOA3PbMi43wQBiJD
3nn7SebGCHkTjcMVRSwUAR,We Play House,2023-08-04,https://api.spotify.com/v1/albums/3nn7SebGCHkTjcMVRSwUAR
7e6gi422iHsPTmlPPYaWqd,Running High,2022-10-07,https://api.spotify.com/v1/albums/7e6gi422iHsPTmlPPYaWqd
79f4YGIHehV62UyKk2g2ew,Take It Down,2023-01-27,https://api.spotify.com/v1/albums/79f4YGIHehV62UyKk2g2ew
6GNjxWwhOKiUuyC008Nnwi,Connect,2022-06-10,https://api.spotify.com/v1/albums/6GNjxWwhOKiUuyC008Nnwi
1BQw6tF9Fogog6oB3lQ4Eq,House Wave,2024-02-01,https://api.spotify.com/v1/albums/1BQw6tF9Fogog6oB3lQ4Eq
3O5rg3CGsGHRtXkY6IEleT,Take Your Pants Off,2025-02-28,https://api.spotify.com/v1/albums/3O5rg3CGsGHRtXkY6IEleT
2LhaJz3QqeBKlqbHjc2Hye,Crush,2025-02-28,https://api.spotify.com/v1/albums/2LhaJz3QqeBKlqbHjc2Hye
3XfzkTHDf8NrR2ZEYlKQFI,Toroidal,2025-02-28,https://api.spotify.com/v1/albums/3XfzkTHDf8NrR2ZEYlKQFI
2C74sO3IjfXbiEPKD6kjQo,Butterflies,2025-02-21,https://api.spotify.com/v1/albums/2C74sO3IjfXbiEPKD6kjQo
6s28yKvZLCiE51uMHbtApu,Angra Dos Reis,2020-03-06,https://api.spotify.com/v1/albums/6s28yKvZLCiE51uMHbtApu
1USIBOjQGyXDQW2N1fUZ6q,Never Let Me Go,2020-03-06,https://api.spotify.com/v1/albums/1USIBOjQGyXDQW2N1fUZ6q
01gA8BZQ4nRgWY3BP14HhT,Freak,2025-02-21,https://api.spotify.com/v1/albums/01gA8BZQ4nRgWY3BP14HhT
1fCXa4ozWDMabkrxEnQJqh,Offbeat,2025-02-21,https://api.spotify.com/v1/albums/1fCXa4ozWDMabkrxEnQJqh
6wWdI2JnPfWaj0DR24fCWz,The Banquet,2016-12-12,https://api.spotify.com/v1/albums/6wWdI2JnPfWaj0DR24fCWz
6H8PXijDy64KFySkh5ngNB,I Can Handle It (Gianni Bini & Fabio Vela Old School Mix),2019-05-10,https://api.spotify.com/v1/albums/6H8PXijDy64KFySkh5ngNB
62CmBWPso8MZGNl3S47YdA,Save Our Ship (SOS),2023-12-15,https://api.spotify.com/v1/albums/62CmBWPso8MZGNl3S47YdA
1hh2TP62m29fkwFLeS3KEN,Above Ground Pool,2024-05-10,https://api.spotify.com/v1/albums/1hh2TP62m29fkwFLeS3KEN
7nyEsZipW3z9mtps0GDl1C,Tranquility,2025-02-28,https://api.spotify.com/v1/albums/7nyEsZipW3z9mtps0GDl1C
6W7HtThQxDNfNmGeOGLQja,Making My Daydream Real (Sunshine Remix),2025-02-07,https://api.spotify.com/v1/albums/6W7HtThQxDNfNmGeOGLQja
3cfJL3v7N00sY3ITLDmJkk,Sunset Breeze,2024-11-15,https://api.spotify.com/v1/albums/3cfJL3v7N00sY3ITLDmJkk
1GDtK1qTGdOAHPYTrxQ2Df,Nightwalker,2025-02-14,https://api.spotify.com/v1/albums/1GDtK1qTGdOAHPYTrxQ2Df
4FDS9kboN9FJqldwtPECzu,Keep on Lovin' Me,2020-08-07,https://api.spotify.com/v1/albums/4FDS9kboN9FJqldwtPECzu
1OX9P0OoGZcuLMWFMm4mtB,Mr. Afterparty,2022-01-21,https://api.spotify.com/v1/albums/1OX9P0OoGZcuLMWFMm4mtB
0waH83BnSLz1p6XCXv7G5o,Starlightway,2023-08-11,https://api.spotify.com/v1/albums/0waH83BnSLz1p6XCXv7G5o
7r8wuW1LUCYHdEHZbRKm8t,Broke Bois,2023-08-25,https://api.spotify.com/v1/albums/7r8wuW1LUCYHdEHZbRKm8t
1ig22ShcS08wUCFcmXXtiz,Trip,2020-10-16,https://api.spotify.com/v1/albums/1ig22ShcS08wUCFcmXXtiz
2uWrGoStbNx21ntU9R4jiU,Buss It EP,2018-09-07,https://api.spotify.com/v1/albums/2uWrGoStbNx21ntU9R4jiU
0DIEVUDU6evMNb3D5pLs0s,Pineapple Juice,2022-07-22,https://api.spotify.com/v1/albums/0DIEVUDU6evMNb3D5pLs0s
1bKYnmBrRkCrSwhdr456Dk,Freedom EP,2020-11-13,https://api.spotify.com/v1/albums/1bKYnmBrRkCrSwhdr456Dk
0RbwFGWf4kCvQ468oFtCMk,Tear Me Down,2021-11-05,https://api.spotify.com/v1/albums/0RbwFGWf4kCvQ468oFtCMk
5NVTlTbwrEDuu6GzZwdmQW,Ridicule,2021-04-16,https://api.spotify.com/v1/albums/5NVTlTbwrEDuu6GzZwdmQW
0C1RAj9FKxcjtps4hcNzBN,Love You Give,2021-12-17,https://api.spotify.com/v1/albums/0C1RAj9FKxcjtps4hcNzBN
5s1hbDnuZfpxK0e2W2Zt1i,Feel It Now,2021-12-03,https://api.spotify.com/v1/albums/5s1hbDnuZfpxK0e2W2Zt1i
0ICTpraA2I1KV7IwEDbfHp,Ibiza 1995,2021-03-26,https://api.spotify.com/v1/albums/0ICTpraA2I1KV7IwEDbfHp
0wCg0JwQJJceffhtkXlxSl,My Body Moves (Remix),2020-06-19,https://api.spotify.com/v1/albums/0wCg0JwQJJceffhtkXlxSl
3mqC2D3n4KpnSEsYa58wpA,Hili,2022-09-16,https://api.spotify.com/v1/albums/3mqC2D3n4KpnSEsYa58wpA
7qg1D9nKMvb99jaRvW50re,Balance Presents Sudbeat,2017-02-24,https://api.spotify.com/v1/albums/7qg1D9nKMvb99jaRvW50re
6cS2F5B7qZEXmNkkN0vcP3,"Moon, Stars and Sirens",2023-07-28,https://api.spotify.com/v1/albums/6cS2F5B7qZEXmNkkN0vcP3
