album_id,track_id
1AegI4Bn648fulynzE7YML,74Dt4NTtCNGEtYDI11gQLN
0qn64q9MVIlHoUnfdcsSN9,4gGvmTRAVYermHdsVNW6Dv
0k9Gu6Gw0Xu4RSzaKaaFZi,0WnswzyGFkivRauBSbzLv3
7aMQPXovqv7PGp1YCcVptp,4kOaGIpSiVKC36tVZomfdC
1NsMu7kOA3PbMi43wQBiJD,0eR9wnxs7PAjthP2eci7op
3nn7SebGCHkTjcMVRSwUAR,5Q89EDZ9d2SGXViVr90awb
7e6gi422iHsPTmlPPYaWqd,6b2CLhWfAF0JicJOo1RhqX
79f4YGIHehV62UyKk2g2ew,2mUQi8GCareI4VWYCtDVUL
6GNjxWwhOKiUuyC008Nnwi,3umpreLBt30zgbXWO9fbZY
1BQw6tF9Fogog6oB3lQ4Eq,3LXf08L5ZFzG4NSKK0Mv3o
3O5rg3CGsGHRtXkY6IEleT,4nZ9EgYqbkInGTNTJZJRuB
2LhaJz3QqeBKlqbHjc2Hye,6dB2yf7rrkUt3bcokgnxjO
3XfzkTHDf8NrR2ZEYlKQFI,7iOMl515lDjKxTDlm1xxSU
2C74sO3IjfXbiEPKD6kjQo,6cBs0IiuiBT0172vOcc7GE
6s28yKvZLCiE51uMHbtApu,1LjGCTx0mRpVKWPdYmZfzv
1USIBOjQGyXDQW2N1fUZ6q,23hXTIez5nmRsBkxfcCqXO
01gA8BZQ4nRgWY3BP14HhT,4w3dp65mVEKvTHeKZ7U2l8
1fCXa4ozWDMabkrxEnQJqh,4rGkLTgvTSnxAPy2wv3YRW
6wWdI2JnPfWaj0DR24fCWz,6jDxgdRpGPSfYBPjLyxUjy
6H8PXijDy64KFySkh5ngNB,1jGWrROPgDi52quwnTuSec
62CmBWPso8MZGNl3S47YdA,0SuFM875msKXWm8E3x34DA
1hh2TP62m29fkwFLeS3KEN,1nCWLPCr4ApiroIwGc2iPi
7nyEsZipW3z9mtps0GDl1C,3bQ2OhLYJLWOwjaVsGpvq2
6W7HtThQxDNfNmGeOGLQja,29hOW9HTPvMkKHJariLIVF
3cfJL3v7N00sY3ITLDmJkk,5T2NS3nZNgzomJPUyaHbjW
1GDtK1qTGdOAHPYTrxQ2Df,7cnddEO0gHQVUOsjbHNjcS
4FDS9kboN9FJqldwtPECzu,746aFjbAWY3TuL24WF2ZMH
1OX9P0OoGZcuLMWFMm4mtB,2i7eNQWtngD1LewnSYBoPE
0waH83BnSLz1p6XCXv7G5o,35g0m9i9QgBTsdn0Wt4SEw
7r8wuW1LUCYHdEHZbRKm8t,0lgbqZ4LTgaFxJtMMH9dya
1ig22ShcS08wUCFcmXXtiz,3pJlznfTchUj3hCwXVwSMF
2uWrGoStbNx21ntU9R4jiU,0s7zGSGiNfZTvK61easyHD
0DIEVUDU6evMNb3D5pLs0s,202DlXrnzhnaOnShk1jHfk
1bKYnmBrRkCrSwhdr456Dk,4oNPq34Oz5WQlVmGxbw3kw
0RbwFGWf4kCvQ468oFtCMk,64hrGWuaPYOLNAVPOUG6Nn
5NVTlTbwrEDuu6GzZwdmQW,2RCVrSkNzZ2PgxNCYz37u4
0C1RAj9FKxcjtps4hcNzBN,0jVh2zWP88t1Em7wmqsmAt
5s1hbDnuZfpxK0e2W2Zt1i,3Hy8UMK8H38A1euqgJ2bNg
0ICTpraA2I1KV7IwEDbfHp,2JGcH7TkxyDNTffQlzhENY
0wCg0JwQJJceffhtkXlxSl,1tYgM2P8DcZm0JpBw7flhv
3mqC2D3n4KpnSEsYa58wpA,6CymhELga0HRjQgQrHoORl
7qg1D9nKMvb99jaRvW50re,7Jgg3I4hov6UFjAmYDLSqG
6cS2F5B7qZEXmNkkN0vcP3,7vbTza2jw1UlnuH4pBcPWJ
1tKb7zXWwDJgueFwfCrLiY,4WWywiecQQjuEqlT3fqH0y
0FzsdnxyIpECzLwoyNwpuv,2h1NfUCwVUtYkCadHfs0Uy
47imeLb3phUrftKezc6DuG,58kb3Cqm1RRmfm18sxHASg
5PEIlmYkwjYJV3Ypx11zlE,1p6gt3zMLUhxZPJzE0Cwjd
3pwy0VxCdlVthYkXb2OzWx,2rFX7HsA0zkGL2vW4sUsXk
447Bs7fe64r9s3uPQwrk1M,6oYF8BY1vLB9jKusvfVmBo
0NpnkFqPOqPy71r6Z0kHTr,6YkEiKjUeZbh1yxSy6YeZ7
6d7bsAD2hcwpzt8yXzGQHW,3R8gmUukzfdNXHekpujuMy
4n1UIQLcjR1KSj8cI7X1RS,0t7UUfw7XLAOSv5jyHmIRW
2q19DupDUOXpyRwZ4kG4hP,037WUeFqULhpCn70OJFbtP
0hzqtw9oFAS2tx0G9xodKl,3OOAf4Yeqlnt5XYdecpR0w
0fjFfo4fjXex8kNyEu4CZ0,3FV2AQ5XPCCXqHvalR7SMA
1QSSKUqOFtMKiklJUzGNAz,3UhTVSEndJaCtsO9JqWrmB
3VmIyKI24KQL0UVyCeglHn,3TMAto5qUk2J9VkCBEvRUa
7okGjYWgFphEkO4Yiq4ZbA,3pGw6Sgcd37kJM0AXQ6Tcf
4WlAI1jYrcdXuQ8QH1X5Fd,4VvCoy9PDFq3Y8E2XONvf5
5Hd4MJwruxEXJqhRjfwP8Q,6pD6BbKzHlkjijpqhhJD0l
6LG4maoslPuedlB49I6g7M,6XC72TsCSZlzUTdJPVEGlC
7cMB4Jtufj9OEclvEguSPU,6XxP8YRrbRK5E5GCipnMJ6
5CRccbQhztuQgNF86DhPv3,7wEzKmGuIZo37RwJ2uKVxg
3Qpjcy2pfqIG7PnvjdbLBB,7IaZ73ZsBAzUsFIBG4kCSV
5bLSZHcNqVuyLPm8xQmB9G,4nqJzt8IlWNXkvex9ACtxM
4DqECgdlJp6wXWWsl4EVCg,5tuhxKlP0La0YMvMLHQbzw
4UoGoSq6fjuKZ5HWa8PAB7,6c9pmpXwhAJAbEpwvOmgA2
2xI9RXYhDriU8D75NxgtaP,3pFDariqNavKsK6ccnjPNa
5nwk2ZMYxyl1Hi1QRosdel,3Cs8t8GJY876W4HMjQjRBX
2pDkXCJVJoi0VK5LnQ1RNp,3NzZxTpqLNVIrb5KFUNYHu
1tdxOofABQZvgQJgKTtlEg,7snnanQveGg5bZNofWgcy9
3l3AtrA3abTImiRumFxHTc,0ixyTulyiaCPersHLDfDn1
07KeSudMUJHfMARBQUMwfc,2AuJFbO5n1DNmE3RCbaBCw
06WIiFArmoAHBCdFfQpz56,0JU4WUagLxckgNxbOuZt0u
249IdvGn1QvK64D3VPVzdS,2FxwTax2LGVybNIrreiwXv
1oyUH7JHPt8naqA8gKh64h,5q2PRY3rS2Y2TNmjIOJnto
1s0R1NzSAWj3u5vQZQ7Jx7,3d2yowRTcZpQgtkNFmFNiQ
3qIcWGQGUmiUPgA2x0W7OD,4xs3eeuZb1WofrjlUp65QP
4fKmI1PWEGh4qAhOgZv88G,0xMvLmDq0ycn24RhRWxpUW
3gURTCIlmjaSM9PF4UOjrn,2fULWSOZgRtPoPZs0leeZV
4aF8MaBJe7HIAdysMuxjNJ,1oqY0RUQD7qzor6B5QJneG
44zLUyCvdmvWwuaYG1i4uE,5HQWqktngqV7CQJlpModWV
5uwZNiUHsnjGrbr8aql46Y,4zNcOicCRnJDYz0QYXwBUL
4j8Webnx0AfevuCNZgEJRP,0rAAItMEeE8x7UJZYaS0Fa
6DNQnnijzxfxqm4QfOVqYd,4JahcPo6CXWMQOnaRp2n4p
2b6VJffBJ7BA4hTDtRzGpx,2t9WioYqK4d9O6AZGj2s9O
6hZcAgMBWyVj5akV66MoCT,4kKTUNhZtqnaX3kXkSXYhH
1csth0vkJoVkcp0iRnQksO,5ooAWPi7WpbPN9ZfY7WBSY
5GAUxNKA5xSEd9QouTSpeD,6AJaCdnVlBBQneOz777gNd
2gLuwOyVXBJewnSwgEDpeM,69rrZFeJk144K4wodgq2Rn
0A8JnsQHOo0UhbbUjVEw1l,6z0l4NHQdQ7UebRlJoHC8j
5hZJq3tQTNmLd7uZm3ljZw,5Y7Hj7kTw0HzQmVom25sHJ
0Fqv90llZ9awHxgZMO5Hwr,12Sie89VFA7W21TKdPuc5u
59XJByKOEnmxePXKvKfTmY,3Cy3xQvpMFl5wphdpx4Jt8
3nkYLeP2IeZUQpoM2iYNWO,2shOm1mTMJ5M5m8En05cS2
6hcmhm2SgaQpEJKfos7NU0,2EyPRDAYdcOrgAoDYakPp6
6zEZI11xxKJwb3uxRoeLW5,5cUaojJDHKjr6mKyjssHEr
