id,name,href
34L6CF5Bc3ogSvcGfq9TnL,Martin Ka,https://api.spotify.com/v1/artists/34L6CF5Bc3ogSvcGfq9TnL
5NafK2XHLrFYXioRE8ElPQ,Daniel Neuland,https://api.spotify.com/v1/artists/5NafK2XHLrFYXioRE8ElPQ
3UCPEgnaf1ZoEkrGOXFxhV,Jon.K,https://api.spotify.com/v1/artists/3UCPEgnaf1ZoEkrGOXFxhV
2uC37Er4dfALwAHVh0rOMj,Dub Pepper,https://api.spotify.com/v1/artists/2uC37Er4dfALwAHVh0rOMj
7wx5n75yj4EbRAMJv7DIvZ,Brosso,https://api.spotify.com/v1/artists/7wx5n75yj4EbRAMJv7DIvZ
0fOe07euakUFcf5FxNmDuR,Margaryan,https://api.spotify.com/v1/artists/0fOe07euakUFcf5FxNmDuR
0T5j3lIl2s2VEVMqlIblD0,Max Freeze,https://api.spotify.com/v1/artists/0T5j3lIl2s2VEVMqlIblD0
666dcGzCMhB4QfGw6BPmeq,RoelBeat,https://api.spotify.com/v1/artists/666dcGzCMhB4QfGw6BPmeq
2Z9A2xsypj8IhJQBLPdyee,Katrin Kittyx,https://api.spotify.com/v1/artists/2Z9A2xsypj8IhJQBLPdyee
4eRfkq2oGeOhnEEndl184K,No Hopes,https://api.spotify.com/v1/artists/4eRfkq2oGeOhnEEndl184K
71yD5VENn9Wy1IECnpYWvX,Khainz,https://api.spotify.com/v1/artists/71yD5VENn9Wy1IECnpYWvX
36N6pddt92f5CEbbbNGqAE,Jiggler,https://api.spotify.com/v1/artists/36N6pddt92f5CEbbbNGqAE
6oIco6H7xclBUVQpEeCTnl,Kinky Sound,https://api.spotify.com/v1/artists/6oIco6H7xclBUVQpEeCTnl
0FYvoElCh6luXrBPpRFcQw,MODBIT,https://api.spotify.com/v1/artists/0FYvoElCh6luXrBPpRFcQw
6eEHZxh8mveYoNu1LAdWEq,PlastikFunkers,https://api.spotify.com/v1/artists/6eEHZxh8mveYoNu1LAdWEq
3urGFEv1zqwK24gupip690,Iglesias,https://api.spotify.com/v1/artists/3urGFEv1zqwK24gupip690
0CaIrbAAnshNfwGPwRFhOd,Melanie Ribbe,https://api.spotify.com/v1/artists/0CaIrbAAnshNfwGPwRFhOd
4XFeqUra2PvHDnjxKNATB9,Marbs,https://api.spotify.com/v1/artists/4XFeqUra2PvHDnjxKNATB9
