id,name,description,href
2Eh4kUPPV20JBqaWjZv4lt,Bunker,,https://api.spotify.com/v1/playlists/2Eh4kUPPV20JBqaWjZv4lt
3W93Sbhs5HpVkDbHUZaEjC,Rapture,,https://api.spotify.com/v1/playlists/3W93Sbhs5HpVkDbHUZaEjC
0DaYKWKQJlg1drXzUzh3T6,Tools,,https://api.spotify.com/v1/playlists/0DaYKWKQJlg1drXzUzh3T6
3qe1urZ8PW93huvzkF9Ysf,Ravers,,https://api.spotify.com/v1/playlists/3qe1urZ8PW93huvzkF9Ysf
0H428Ek0DXkdqO8lhEmWUc,New Era,,https://api.spotify.com/v1/playlists/0H428Ek0DXkdqO8lhEmWUc
3rtLRcbz2BOCnmslUcxgNM,Simmer,,https://api.spotify.com/v1/playlists/3rtLRcbz2BOCnmslUcxgNM
1o8sK669eLuIpZmWgvrZMt,Solar,,https://api.spotify.com/v1/playlists/1o8sK669eLuIpZmWgvrZMt
1703gxphXS0GGlA7mhLhQE,The Key,,https://api.spotify.com/v1/playlists/1703gxphXS0GGlA7mhLhQE
4WJGHNgPgcL6q7onS5qegv,Break Down,,https://api.spotify.com/v1/playlists/4WJGHNgPgcL6q7onS5qegv
1nWcWeX3A45SJeDbrTiYHO,Jungle Island,,https://api.spotify.com/v1/playlists/1nWcWeX3A45SJeDbrTiYHO
3aUUws0fHfuLGvICB3nlmy,Black List,,https://api.spotify.com/v1/playlists/3aUUws0fHfuLGvICB3nlmy
7a85viEIjwruzVRLC1xqyn,Steady Progress,,https://api.spotify.com/v1/playlists/7a85viEIjwruzVRLC1xqyn
1CdVtn7BxMMA7ydGJWvceO,Euro Tripping,,https://api.spotify.com/v1/playlists/1CdVtn7BxMMA7ydGJWvceO
4uEMVyTRB9b2V3wBHsOY5r,Total Darkness,,https://api.spotify.com/v1/playlists/4uEMVyTRB9b2V3wBHsOY5r
1jIzROrSpflmFAyFNJ541t,Down South,,https://api.spotify.com/v1/playlists/1jIzROrSpflmFAyFNJ541t
0MIIZICslkbcrd6U0CLenD,Desert Hearts,,https://api.spotify.com/v1/playlists/0MIIZICslkbcrd6U0CLenD
2ltUuqGCtrORXabV6h4MGj,Voices in the Wind,,https://api.spotify.com/v1/playlists/2ltUuqGCtrORXabV6h4MGj
64vSkCHe9dC1LODtNJDqg8,Over the Bridge,,https://api.spotify.com/v1/playlists/64vSkCHe9dC1LODtNJDqg8
0pKbjwS4EGhlnWmssXM7GW,Tech Culture,,https://api.spotify.com/v1/playlists/0pKbjwS4EGhlnWmssXM7GW
1rGpgkkbf3sHUgdLgHk0xv,Turn up the Heat,,https://api.spotify.com/v1/playlists/1rGpgkkbf3sHUgdLgHk0xv
1PF1rnUFimMdxsbjC8yAUw,Release the Drums,,https://api.spotify.com/v1/playlists/1PF1rnUFimMdxsbjC8yAUw
41sMQxV7sX1cFWIxqf7d3m,Bass Groove,,https://api.spotify.com/v1/playlists/41sMQxV7sX1cFWIxqf7d3m
694p1TJHeM7lkxLqBkyTMn,Slap Hats,,https://api.spotify.com/v1/playlists/694p1TJHeM7lkxLqBkyTMn
2Pabi3boWNjDHs922wvn0A,Got the Fever,,https://api.spotify.com/v1/playlists/2Pabi3boWNjDHs922wvn0A
2DoP2fh0WmTHY6Kvc1gMLq,To the Summit,,https://api.spotify.com/v1/playlists/2DoP2fh0WmTHY6Kvc1gMLq
3OPu1N9BsIrxECR7Koiu0u,The Glow,,https://api.spotify.com/v1/playlists/3OPu1N9BsIrxECR7Koiu0u
5WJSFa1qyl0NokWfD2UQki,Thundering Bassline,"Big, 124 tech house - play to get down",https://api.spotify.com/v1/playlists/5WJSFa1qyl0NokWfD2UQki
1gjUJWVwNYTzEvTqYQuuOW,Spinning Kaleidoscope,,https://api.spotify.com/v1/playlists/1gjUJWVwNYTzEvTqYQuuOW
1OOa0ILFzgWvPeLvvMpLyK,Right in the Feels,,https://api.spotify.com/v1/playlists/1OOa0ILFzgWvPeLvvMpLyK
3U4MNzaPBHbwSd4fNFlAZw,Nasty House,"Dirty, 127-130 house - play in the groove",https://api.spotify.com/v1/playlists/3U4MNzaPBHbwSd4fNFlAZw
62FWNkWaPIaENyjp9jI9tS,Midtown Soul,,https://api.spotify.com/v1/playlists/62FWNkWaPIaENyjp9jI9tS
1iQF4SKrNAQyEVTwiMpbxp,Disco Dominated,,https://api.spotify.com/v1/playlists/1iQF4SKrNAQyEVTwiMpbxp
0xUBtXG4NEviZ0kqOzUo3N,Deep Dark,,https://api.spotify.com/v1/playlists/0xUBtXG4NEviZ0kqOzUo3N
5wXl8wOUDEdHxa0awX0cRx,Cruising High,,https://api.spotify.com/v1/playlists/5wXl8wOUDEdHxa0awX0cRx
2OwLG377hx0knExI5vMr5L,After Burn,"Low key, 127-130 house and techno - fit for the afters",https://api.spotify.com/v1/playlists/2OwLG377hx0knExI5vMr5L
5kPhCPRiAIdhRC5qb0AuIY,Tribal Grooves,,https://api.spotify.com/v1/playlists/5kPhCPRiAIdhRC5qb0AuIY
347CyyryK9vR6MKDeY2kGy,Vegas Baby,,https://api.spotify.com/v1/playlists/347CyyryK9vR6MKDeY2kGy
5he6haKLRlcpJDc9jSCst0,In the Deep,,https://api.spotify.com/v1/playlists/5he6haKLRlcpJDc9jSCst0
0FjElElverqNIkDzC9j1F1,Porties,,https://api.spotify.com/v1/playlists/0FjElElverqNIkDzC9j1F1
6Bbs1z8FBHZuyjICsnMu5x,Spooks,,https://api.spotify.com/v1/playlists/6Bbs1z8FBHZuyjICsnMu5x
6g4wgURodTYAOMM67GFUlI,Tex,,https://api.spotify.com/v1/playlists/6g4wgURodTYAOMM67GFUlI
3eFAYOSWFNScnUiy6EAKeD,Nasty Girl,,https://api.spotify.com/v1/playlists/3eFAYOSWFNScnUiy6EAKeD
5PJseM7c4eXiPhlU5gWiys,Tracking,,https://api.spotify.com/v1/playlists/5PJseM7c4eXiPhlU5gWiys
3MexbZoraeAqBRYEkzAGet,You & Me,,https://api.spotify.com/v1/playlists/3MexbZoraeAqBRYEkzAGet
0Q3EJ9eHonpEhYbBWLTsbT,Cid,,https://api.spotify.com/v1/playlists/0Q3EJ9eHonpEhYbBWLTsbT
5faKswCs0dD6frmjp5stEa,Rain Forest,,https://api.spotify.com/v1/playlists/5faKswCs0dD6frmjp5stEa
5V8K607uj9hZTDrbV2vsV3,Dee Sko,,https://api.spotify.com/v1/playlists/5V8K607uj9hZTDrbV2vsV3
3QljIn9CspwHRMM5fbqkHX,Ocean,,https://api.spotify.com/v1/playlists/3QljIn9CspwHRMM5fbqkHX
6S2FCjQwPLZhm8hCIvvkPL,Cee Cee,,https://api.spotify.com/v1/playlists/6S2FCjQwPLZhm8hCIvvkPL
3ObViEu5bTO5Q5AR0LbIQv,Dirty,,https://api.spotify.com/v1/playlists/3ObViEu5bTO5Q5AR0LbIQv
1BV5GQP74ddeY6GdsQrLHJ,Dive,,https://api.spotify.com/v1/playlists/1BV5GQP74ddeY6GdsQrLHJ
5SPrntme57b2SdmyoS87dr,Drum Circle,,https://api.spotify.com/v1/playlists/5SPrntme57b2SdmyoS87dr
7xHB7ErfpufkgFzUgjJqud,Line,,https://api.spotify.com/v1/playlists/7xHB7ErfpufkgFzUgjJqud
1w4IwzDJWtAxttz6QVb17S,Fast Lane,,https://api.spotify.com/v1/playlists/1w4IwzDJWtAxttz6QVb17S
0HKsGhxxr0mdUNS1wIOSCL,Emperors New Groove,,https://api.spotify.com/v1/playlists/0HKsGhxxr0mdUNS1wIOSCL
6ousMMGSkVCbed48SyS4H9,Blizzard,,https://api.spotify.com/v1/playlists/6ousMMGSkVCbed48SyS4H9
76KJ7IJTJMxYSXdxQTSfXX,Smooth,,https://api.spotify.com/v1/playlists/76KJ7IJTJMxYSXdxQTSfXX
2iIBPl7yeVTXGpwW8xz8Je,Wut,,https://api.spotify.com/v1/playlists/2iIBPl7yeVTXGpwW8xz8Je
4fiiiIn5VFR3nO7M5bTwi3,Funky,,https://api.spotify.com/v1/playlists/4fiiiIn5VFR3nO7M5bTwi3
7HmZ4IPFxSR3zAZmqz0Mcc,Blurred,,https://api.spotify.com/v1/playlists/7HmZ4IPFxSR3zAZmqz0Mcc
