id,name,duration_ms,popularity,href
74Dt4NTtCNGEtYDI11gQLN,U Ready,439675,9,https://api.spotify.com/v1/tracks/74Dt4NTtCNGEtYDI11gQLN
4gGvmTRAVYermHdsVNW6Dv,Acid Carnival,397868,15,https://api.spotify.com/v1/tracks/4gGvmTRAVYermHdsVNW6Dv
0WnswzyGFkivRauBSbzLv3,Other Side Of The Sun,343902,12,https://api.spotify.com/v1/tracks/0WnswzyGFkivRauBSbzLv3
4kOaGIpSiVKC36tVZomfdC,The Techno,333622,7,https://api.spotify.com/v1/tracks/4kOaGIpSiVKC36tVZomfdC
0eR9wnxs7PAjthP2eci7op,Cosmic Ride - ReBrand Mix,337190,6,https://api.spotify.com/v1/tracks/0eR9wnxs7PAjthP2eci7op
5Q89EDZ9d2SGXViVr90awb,We Play House - Extended Mix,365118,10,https://api.spotify.com/v1/tracks/5Q89EDZ9d2SGXViVr90awb
6b2CLhWfAF0JicJOo1RhqX,Running High - Jiggler Remix,362926,6,https://api.spotify.com/v1/tracks/6b2CLhWfAF0JicJOo1RhqX
2mUQi8GCareI4VWYCtDVUL,Fresh Beat,348313,15,https://api.spotify.com/v1/tracks/2mUQi8GCareI4VWYCtDVUL
3umpreLBt30zgbXWO9fbZY,Connect,419625,26,https://api.spotify.com/v1/tracks/3umpreLBt30zgbXWO9fbZY
3LXf08L5ZFzG4NSKK0Mv3o,In My House,192217,14,https://api.spotify.com/v1/tracks/3LXf08L5ZFzG4NSKK0Mv3o
4nZ9EgYqbkInGTNTJZJRuB,Take Your Pants Off,211874,34,https://api.spotify.com/v1/tracks/4nZ9EgYqbkInGTNTJZJRuB
6dB2yf7rrkUt3bcokgnxjO,Crush - Stream Edit,195348,23,https://api.spotify.com/v1/tracks/6dB2yf7rrkUt3bcokgnxjO
7iOMl515lDjKxTDlm1xxSU,Toroidal,338097,13,https://api.spotify.com/v1/tracks/7iOMl515lDjKxTDlm1xxSU
6cBs0IiuiBT0172vOcc7GE,Butterflies,169411,59,https://api.spotify.com/v1/tracks/6cBs0IiuiBT0172vOcc7GE
